MTgenes,G2Mgenes,Sgenes,RMgenes
,,,AMEX60DDU001002129::MSTRG.448
,,,MSTRG.449
,,,AMEX60DDU001002130::MSTRG.450
,,,AMEX60DDU001002131::MSTRG.451
,,,AMEX60DDU001002165::MSTRG.453
,,,AMEX60DDU001002173::MSTRG.456
,,,AMEX60DDU001002174::MSTRG.457
,,,MSTRG.458
,,,AMEX60DDU001002247::MSTRG.461
,,,AMEX60DDU001002257::MSTRG.463
,,,MSTRG.464
,,,AMEX60DDU001002278::MSTRG.465
,,,AMEX60DDU001002279::MSTRG.466
,,,AMEX60DDU001002281::MSTRG.468
,,,AMEX60DDU001002282::MSTRG.469
,,,AMEX60DDU001002283::MSTRG.470
,,,AMEX60DDU001002284::MSTRG.471
,,,AMEX60DDU001002285::MSTRG.472
,,,AMEX60DDU001002285::MSTRG.473
,,,AMEX60DDU001002286::MSTRG.474
,,,AMEX60DDU001002288::MSTRG.476
,,,AMEX60DDU001002289::MSTRG.477
,,,AMEX60DDU001002310::MSTRG.481
,,,AMEX60DDU001002312::MSTRG.483
,,,AMEX60DDU001002314::MSTRG.485
,,,AMEX60DDU001002316::MSTRG.487
,,,AMEX60DDU001002317::MSTRG.488
,,,AMEX60DDU001002323::MSTRG.489
,,,AMEX60DDU001002324::MSTRG.490
,,,AMEX60DDU001002325::MSTRG.491
,,,AMEX60DDU001002341::MSTRG.493
,,,AMEX60DDU001002342::MSTRG.494
,,,AMEX60DDU001002369::MSTRG.498
,,,AMEX60DDU001002370::MSTRG.499
,,,AMEX60DDU001002381::MSTRG.501
,,,AMEX60DDU001002382::MSTRG.502
,,,AMEX60DDU001002375::MSTRG.504
,,,AMEX60DDU001002414::MSTRG.507
,,,AMEX60DDU001002415::MSTRG.508
,,,AMEX60DDU001002416::MSTRG.509
,,,AMEX60DDU001002417::MSTRG.510
,,,AMEX60DDU001002418::MSTRG.511
,,,MSTRG.512
,,,AMEX60DDU001002436::MSTRG.514
,,,AMEX60DDU001002452::MSTRG.516
,,,AMEX60DDU001002544::MSTRG.523
,,,AMEX60DDU001002546::MSTRG.525
,,,AMEX60DDU001002547::MSTRG.526
,,,AMEX60DDU001002548::MSTRG.527
,,,MSTRG.528
,,,AMEX60DDU001002561::MSTRG.530
,,,AMEX60DDU001002562::MSTRG.531
,,,AMEX60DDU001002563::MSTRG.532
,,,AMEX60DDU001002575::MSTRG.534
,,,AMEX60DDU001002595::MSTRG.538
,,,AMEX60DDU001002596::MSTRG.539
,,,AMEX60DDU001002598::MSTRG.541
,,,AMEX60DDU001002599::MSTRG.542
,,,MSTRG.543
,,,AMEX60DDU001002696::MSTRG.545
,,,AMEX60DDU001002669::MSTRG.549
,,,AMEX60DDU001002670::MSTRG.550
,,,AMEX60DDU001002672::MSTRG.552
,,,AMEX60DDU001002673::MSTRG.553
,,,AMEX60DDU001002674::MSTRG.554
,,,AMEX60DDU001002675::MSTRG.555
,,,AMEX60DDU001002677::MSTRG.557
,,,AMEX60DDU001002707::MSTRG.561
,,,AMEX60DDU001002708::MSTRG.562
,,,AMEX60DDU001002709::MSTRG.563
,,,AMEX60DDU001002764::MSTRG.570
,,,AMEX60DDU001002772::MSTRG.571
,,,AMEX60DDU001002791::MSTRG.573
,,,AMEX60DDU001002792::MSTRG.574
,,,AMEX60DDU001002793::MSTRG.575
,,,AMEX60DDU001002794::MSTRG.576
,,,AMEX60DDU001002795::MSTRG.577
,,,AMEX60DDU001002796::MSTRG.578
,,,AMEX60DDU001002799::MSTRG.579
,,,AMEX60DDU001002802::MSTRG.580
,,,MSTRG.581
,,,AMEX60DDU001002815::MSTRG.584
,,,AMEX60DDU001002824::MSTRG.587
,,,AMEX60DDU001002825::MSTRG.588
,,,AMEX60DDU001002827::MSTRG.590
,,,AMEX60DDU001002828::MSTRG.591
,,,AMEX60DDU001002830::MSTRG.593
,,,AMEX60DDU001002833::MSTRG.596
,,,AMEX60DDU001002839::MSTRG.598
,,,AMEX60DDU001002840::MSTRG.599
,,,AMEX60DDU001002841::MSTRG.600
,,,AMEX60DDU001002847::MSTRG.603
,,,AMEX60DDU001002848::MSTRG.604
,,,AMEX60DDU001002849::MSTRG.605
,,,AMEX60DDU001002850::MSTRG.606
,,,AMEX60DDU001002851::MSTRG.607
,,,AMEX60DDU001002852::MSTRG.608
,,,AMEX60DDU001002853::MSTRG.609
,,,AMEX60DDU001002854::MSTRG.610
,,,AMEX60DDU001002855::MSTRG.611
,,,AMEX60DDU001002856::MSTRG.612
,,,AMEX60DDU001002861::MSTRG.615
,,,AMEX60DDU001002862::MSTRG.616
,,,MSTRG.618
,,,AMEX60DDU001002870::MSTRG.620
,,,MSTRG.621
,,,AMEX60DDU001002871::MSTRG.622
,,,AMEX60DDU001002877::MSTRG.624
,,,AMEX60DDU001002903::MSTRG.626
